lig,nap,raf,hyd,lhy,c345,other,E
10087,22262,0,49316,51505,40499,5316.76,64536.1
8810,30091,0,58245.1,61666,43973,3604,72446.7
24,47758,0,33606,52307,26305,4967.58,56583.7
6356.94,143222,0,31858.8,27260.9,0,4725.44,67126.1
4990.51,169170,0,28863.1,25639,211.262,6808.34,73775.5
9868.04,146624,0,26871.9,34130.7,1626.53,6652.55,73210
26883,52415,0,0,24205.2,12710.9,2026.79,37602
29632.5,57786.2,0,0,26640.3,15496.7,628.3,41300
11859.1,75721.7,0,0,18117.6,15621.3,2247.63,40002.8
24869,90895.9,6110,45954,2801.18,9959,0,59925
29842,102120,6869,45889,2175.14,10307,0,62622
22519,44515.3,1720,13824,5742.38,5776,0,27748
7280.08,29190,0,0,847.243,3654.23,11304,17800
11994.2,20931.5,0,0,1386.12,4117.73,18653.3,19300
10350,16161.6,0,0,3117.1,2728.08,19918.5,18750
2741,8065,10551,2440,8485,0,0,11071
0,20022.5,4425.78,6127.64,11498.6,9763,0,18400.2
0,20796.4,1429.36,15019.7,8738.19,10881,0,20075.3
5672,95664.6,11114.2,52591.2,9730.28,44670,5529.29,73901.4
28987.4,90639,16622.7,79725.5,13310.5,75673.6,5644.97,105905
9406.89,117684,16829.4,79745.2,14162.8,53293.7,5818.06,100145
70006,102396,0,16880.6,52506.8,4877.94,3466.91,91290
95000,122830,0,3321.17,60130.4,5251.6,3607.46,101537
95000,115039,0,0,60430.1,4695.49,3390.33,97520
0,17016,8915,0,24002,609,3270,16340
0,11028,17340,0,23273,491,5415,18059
0,25010,1790,0,19532,3953,8862,17813
0,108953,0,50273,33700,50530,1143,85505
0,106296,0,58353,34662,62470,1285,93997
0,35151,0,36113,76315,18926,733,56832
5966,33525,0,59229,64401,37808,6394,71087.3
6001,29507,0,53836,59641,32925,5685.89,64556.1
5231,26612,0,59879,68853,37560,6247,70619.7
1238,33130,0,24215,46723,24076,2705.79,45811.4
449,35562,0,6392,43607,20339,1522,36130.9
8227,32510,0,47432,64282,34948,5721.92,67233.9
9990.31,13981.1,0,56284.7,68677,40425,4762.8,67183.8
1750,44303,0,42872,59536,40097,4650,66572.3
3075,52528,0,47621,52469,42699,2873,70122.6
2864,46654,0,46133,56133,41800,3293,68601.2
2995,45666,0,49207,62261,36370,5966.89,71832.4
7704.51,156839,0,34865.8,29167.8,559.05,5389.82,74554.5
4975.02,144213,0,30775.4,31246.3,1077.84,5850.08,69652
2304.8,164014,0,30808.7,27617.6,1188.9,7810.4,74400.9
12471.3,151815,0,27247.3,21714.6,1095.46,6600.58,69519.4
9794.53,160583,0,22663.7,34299.5,3133.57,7206.88,75803.1
8117.06,150519,0,35048.2,24292.5,2696.98,6693.84,70524.9
7211.64,147329,0,36743.4,24975,1363.81,7347.98,70730.6
6872.43,161135,0,24000.3,22047.8,0,7454.04,69776.4
4473.49,153545,0,34975.9,31990.1,0,6716.24,74426.1
4414.01,152191,0,31925.4,27936.2,201.378,7155.9,69625.5
5491.01,164158,0,35064.3,27706.7,109.506,7377.2,75076.1
31570.6,59422.8,0,0,24975.9,12046.4,2108.28,41716
22907.9,59891,0,0,20182,13038,282,37494
33582,54842.5,0,0,19824.6,12220.6,1785.3,39502
32795,56915.4,0,0,23268.9,14576.7,652.06,41600
22276,100575,6695,44249,9551.24,14172,0,64667
26728,87286,6363,33197,6769.42,13379,0,56375
28404,100497,6601,40182,9315.46,13379,0,64864
21522,100518,6553,39319,7961.34,11707,0,58383
49786,95601.3,6357,15691,7128.18,13854,0,58657
20216,91832.1,6402,40638,6405.32,12352,0,55778
21914,89199.5,6038,41712,375.58,12949,0,55969
36287,87870.8,6617,42781,40.26,12269,0,60219
36526,90012.7,6832,41700,3523.68,13432,0,60990
25932,92963.6,6198,46444,2500.44,9159,0,58587
24222,106151,6975,50095,2629.6,8491,0,63395
10679.4,10442.6,0,0,2419.89,2660.57,25270.2,18032.5
11821.2,6000,0,0,2789.96,2923.08,31720.4,20000
10981.8,4120,0,0,2838.55,2877.34,34729.5,19700
11065.5,12000,0,0,2629.13,3440.86,24988,19250
10979.1,14095.6,0,0,2884.28,3119.63,22766.6,19400
12671.8,13711.7,0,0,1991.8,3160.55,22871.9,19000.9
12044.9,25395.9,0,0,1153.74,4457.44,12728.4,19000
10953.9,24905.4,0,0,2405.78,3123.02,11927.4,18500
12015.1,31418.3,0,0,1095.33,4231.3,9179.85,19500
0,33364,1407.66,10117.7,5134.45,7168.59,0,20195.9
0,26759.7,2241.42,9525.31,5727.18,7802.56,0,18516.2
0,23440.5,1803.5,12106,10569.6,9227.83,0,20269
0,22618.4,3876.02,12652.3,8400.22,9236.03,0,20139.5
0,27761.8,2868.28,9647.64,10093.5,8738,0,20695.4
0,32831.3,844.86,13001.6,1812.39,8627,0,20120.9
0,24760.4,5632.88,17193.9,2762.51,9757,0,20986.9
0,25690.1,5359.32,10237,6892.4,8722,0,19882.1
0,25442.8,5488.44,7574.24,11100.5,8075,0,20425.9
6762.88,115039,18786,84836,4519,54401,19706.5,103821
29411.5,96088,14784,74220,2980,49945,17706.1,95283.3
30304.2,105205,16368,76425,3474,52988,20045.2,103971
31684.5,100561,14772.8,78410.5,3553.39,55554.5,16436.8,101019
30894,102567,9972.75,82604.7,1935.19,59148.8,16458.3,102027
30907.8,58949.2,20116.9,55047.5,5201.17,59054.3,56521.3,96271.3
24281.6,90610.4,22567.2,78216,5443.06,35944,19197.2,91712.9
30175.2,88251.8,10153.9,80706.2,5265.34,63415.2,19867.6,100721
23879.5,93717.2,15649.7,65613.5,5088.16,71141.6,18615.5,102494
0,105931,20829.2,85797,5617.84,79359.1,19127.7,106628
90100,102064,0,32085,65929,5807,3897,101102
90008,93077,0,21557,55395,5163,3604,91002
90006,103334,0,24798.3,63110.5,4712.7,4013.67,97715
90005,127043,0,18651,45597,1061,2494,94418
90002,94026,0,49916,52937,5291,3156,99532
90001,74976,0,46678,62188,5288,3638,96613
90009,86922,0,44753,62675,5574,3816,100141
75000,102766,0,12606.7,56922.5,4881.72,3689.27,97207.4
70007,132486,0,3016.38,56509.6,4851.94,3878.93,101072
70005,116295,0,23580.5,55482.1,4886.4,3292.25,97807.2
70008,118166,0,16666.7,59580.1,5268.84,3805.92,101218
0,344830,5440.36,0,0,310,5142.02,106234
0,20090,8378.3,0,21883.4,475,10209.2,18275.8
0,22215,4678,0,19204,221,7789,16271
0,28650,4850,0,16108,1560,7306,17222
0,27767,2803,0,18693,294,3474,15659
0,34000,172,0,15105,2485,7904,17932
