参数: {'batch_size': 16, 'train_epochs': 17, 'alpha': 0.28977995270892676}, 分数: 13.57938242445057
参数: {'batch_size': 8, 'train_epochs': 16, 'alpha': 0.5864066389909848}, 分数: 13.554637681284513
参数: {'batch_size': 32, 'train_epochs': 19, 'alpha': 0.5987693615167179}, 分数: 13.631364519399506
参数: {'batch_size': 8, 'train_epochs': 20, 'alpha': 0.3212467695784439}, 分数: 13.600508622363034
参数: {'batch_size': 8, 'train_epochs': 13, 'alpha': 0.9353017022221525}, 分数: 13.54247466763624
参数: {'batch_size': 4, 'train_epochs': 16, 'alpha': 0.3635654232052915}, 分数: 13.451484287625274
参数: {'batch_size': 32, 'train_epochs': 13, 'alpha': 0.2273947420375978}, 分数: 13.562554824406089
参数: {'batch_size': 8, 'train_epochs': 17, 'alpha': 0.590417768686558}, 分数: 13.523334564492767
参数: {'batch_size': 4, 'train_epochs': 10, 'alpha': 0.7466527446344268}, 分数: 13.58021073038481
参数: {'batch_size': 4, 'train_epochs': 17, 'alpha': 0.4557612511945539}, 分数: 13.464810137351831
参数: {'batch_size': 64, 'train_epochs': 25, 'alpha': 0.054710198485591666}, 分数: 13.562629058616782
